frequency	alpha_c	alpha_d	Er_right	Er_wrong
3.112E+00	0.516878496	0.174119319	1.897377545	1.872794201
3.134E+00	0.518702291	0.17535024	1.897344008	1.872794201
3.156E+00	0.520519697	0.176581161	1.89721159	1.872794201
3.178E+00	0.522330779	0.177812082	1.897129801	1.872794201
3.200E+00	0.524135603	0.179043003	1.897132894	1.872794201
3.222E+00	0.525934234	0.180273924	1.897133252	1.872794201
3.244E+00	0.527726734	0.181504845	1.897168307	1.872794201
3.266E+00	0.529513167	0.182735766	1.897244047	1.872794201
3.288E+00	0.531293593	0.183966687	1.896723736	1.872794201
3.310E+00	0.533068072	0.185197608	1.896210412	1.872794201
3.332E+00	0.534836664	0.186428529	1.895970939	1.872794201
3.354E+00	0.536599427	0.18765945	1.896020532	1.872794201
3.376E+00	0.538356418	0.188890371	1.89601009	1.872794201
3.398E+00	0.540107693	0.190121292	1.895996803	1.872794201
3.420E+00	0.541853309	0.191352213	1.895936558	1.872794201
3.442E+00	0.543593319	0.192583134	1.895877388	1.872794201
3.464E+00	0.545327776	0.193814056	1.895800527	1.872794201
3.486E+00	0.547056735	0.195044977	1.895721054	1.872794201
3.508E+00	0.548780247	0.196275898	1.89564183	1.872794201
3.530E+00	0.550498363	0.197506819	1.895592531	1.872794201
3.552E+00	0.552211133	0.19873774	1.895535591	1.872794201
3.574E+00	0.553918607	0.199968661	1.895424842	1.872794201
3.596E+00	0.555620833	0.201199582	1.895391597	1.872794201
3.618E+00	0.557317861	0.202430503	1.895260476	1.872794201
3.640E+00	0.559009737	0.203661424	1.895177674	1.872794201
3.662E+00	0.560696508	0.204892345	1.895106672	1.872794201
3.684E+00	0.562378219	0.206123266	1.895031596	1.872794201
3.706E+00	0.564054917	0.207354187	1.895017315	1.872794201
3.728E+00	0.565726645	0.208585108	1.894931949	1.872794201
3.750E+00	0.567393448	0.209816029	1.894912883	1.872794201
3.772E+00	0.569055369	0.21104695	1.894564209	1.872794201
3.794E+00	0.57071245	0.212277872	1.894339386	1.872794201
3.816E+00	0.572364734	0.213508793	1.894293798	1.872794201
3.838E+00	0.574012261	0.214739714	1.89419953	1.872794201
3.860E+00	0.575655074	0.215970635	1.894137557	1.872794201
3.882E+00	0.577293211	0.217201556	1.894056858	1.872794201
3.904E+00	0.578926713	0.218432477	1.894012883	1.872794201
3.926E+00	0.580555619	0.219663398	1.893912235	1.872794201
3.948E+00	0.582179968	0.220894319	1.893863699	1.872794201
3.970E+00	0.583799797	0.22212524	1.893786643	1.872794201
3.992E+00	0.585415144	0.223356161	1.893717908	1.872794201
4.014E+00	0.587026046	0.224587082	1.893616312	1.872794201
4.036E+00	0.588632539	0.225818003	1.893534218	1.872794201
4.058E+00	0.59023466	0.227048924	1.893513369	1.872794201
4.080E+00	0.591832444	0.228279845	1.893395814	1.872794201
4.102E+00	0.593425926	0.229510766	1.89335745	1.872794201
4.124E+00	0.595015141	0.230741687	1.893286299	1.872794201
4.146E+00	0.596600122	0.231972609	1.893248798	1.872794201
4.168E+00	0.598180903	0.23320353	1.89313494	1.872794201
4.190E+00	0.599757518	0.234434451	1.893058872	1.872794201
4.212E+00	0.60133	0.235665372	1.89300066	1.872794201
4.234E+00	0.60289838	0.236896293	1.892942186	1.872794201
4.256E+00	0.604462691	0.238127214	1.892884316	1.872794201
4.278E+00	0.606022963	0.239358135	1.892807391	1.872794201
4.300E+00	0.607579229	0.240589056	1.892681826	1.872794201
4.322E+00	0.609131519	0.241819977	1.892652216	1.872794201
4.344E+00	0.610679863	0.243050898	1.89260053	1.872794201
4.366E+00	0.612224292	0.244281819	1.892568651	1.872794201
4.388E+00	0.613764834	0.24551274	1.892493147	1.872794201
4.410E+00	0.615301519	0.246743661	1.892461675	1.872794201
4.432E+00	0.616834375	0.247974582	1.892401621	1.872794201
4.454E+00	0.618363432	0.249205503	1.892340391	1.872794201
4.476E+00	0.619888717	0.250436424	1.892400342	1.872794201
4.498E+00	0.621410259	0.251667346	1.892379928	1.872794201
4.520E+00	0.622928084	0.252898267	1.892337541	1.872794201
4.542E+00	0.624442219	0.254129188	1.892252852	1.872794201
4.564E+00	0.625952692	0.255360109	1.892279893	1.872794201
4.586E+00	0.627459529	0.25659103	1.892258874	1.872794201
4.609E+00	0.628962756	0.257821951	1.892310655	1.872794201
4.631E+00	0.630462399	0.259052872	1.892406711	1.872794201
4.653E+00	0.631958483	0.260283793	1.892491555	1.872794201
4.675E+00	0.633451034	0.261514714	1.892610029	1.872794201
4.697E+00	0.634940076	0.262745635	1.89236673	1.872794201
4.719E+00	0.636425634	0.263976556	1.891182979	1.872794201
4.741E+00	0.637907733	0.265207477	1.89031359	1.872794201
4.763E+00	0.639386396	0.266438398	1.8903055	1.872794201
4.785E+00	0.640861647	0.267669319	1.890438314	1.872794201
4.807E+00	0.642333511	0.26890024	1.89053189	1.872794201
4.829E+00	0.643802009	0.270131162	1.890624671	1.872794201
4.851E+00	0.645267165	0.271362083	1.890722026	1.872794201
4.873E+00	0.646729002	0.272593004	1.890772584	1.872794201
4.895E+00	0.648187542	0.273823925	1.890716719	1.872794201
4.917E+00	0.649642808	0.275054846	1.890726067	1.872794201
4.939E+00	0.651094821	0.276285767	1.890741897	1.872794201
4.961E+00	0.652543603	0.277516688	1.890739986	1.872794201
4.983E+00	0.653989175	0.278747609	1.89076302	1.872794201
5.005E+00	0.655431559	0.27997853	1.890779294	1.872794201
5.027E+00	0.656870776	0.281209451	1.890805587	1.872794201
5.049E+00	0.658306847	0.282440372	1.890802078	1.872794201
5.071E+00	0.659739791	0.283671293	1.890856246	1.872794201
5.093E+00	0.66116963	0.284902214	1.890912343	1.872794201
5.115E+00	0.662596384	0.286133135	1.890959179	1.872794201
5.137E+00	0.664020072	0.287364056	1.891047745	1.872794201
5.159E+00	0.665440714	0.288594977	1.891102846	1.872794201
5.181E+00	0.666858329	0.289825899	1.890502218	1.872794201
5.203E+00	0.668272938	0.29105682	1.889906765	1.872794201
5.225E+00	0.669684558	0.292287741	1.889750169	1.872794201
5.247E+00	0.671093209	0.293518662	1.889792303	1.872794201
5.269E+00	0.672498909	0.294749583	1.88986127	1.872794201
5.291E+00	0.673901677	0.295980504	1.889973213	1.872794201
5.313E+00	0.675301531	0.297211425	1.889979256	1.872794201
5.335E+00	0.67669849	0.298442346	1.890005012	1.872794201
5.357E+00	0.67809257	0.299673267	1.890061902	1.872794201
5.379E+00	0.67948379	0.300904188	1.889966997	1.872794201
5.401E+00	0.680872168	0.302135109	1.889975082	1.872794201
5.423E+00	0.68225772	0.30336603	1.889977776	1.872794201
5.445E+00	0.683640465	0.304596951	1.889949657	1.872794201
5.467E+00	0.685020418	0.305827872	1.889948757	1.872794201
5.489E+00	0.686397596	0.307058793	1.889927605	1.872794201
5.511E+00	0.687772018	0.308289714	1.889877226	1.872794201
5.533E+00	0.689143698	0.309520636	1.889890315	1.872794201
5.555E+00	0.690512653	0.310751557	1.889768543	1.872794201
5.577E+00	0.691878899	0.311982478	1.889772519	1.872794201
5.599E+00	0.693242454	0.313213399	1.889772618	1.872794201
5.621E+00	0.694603331	0.31444432	1.889757395	1.872794201
5.643E+00	0.695961547	0.315675241	1.88971435	1.872794201
5.665E+00	0.697317118	0.316906162	1.889305422	1.872794201
5.687E+00	0.698670058	0.318137083	1.88910352	1.872794201
5.709E+00	0.700020384	0.319368004	1.889070398	1.872794201
5.731E+00	0.70136811	0.320598925	1.889057959	1.872794201
5.753E+00	0.702713252	0.321829846	1.889022481	1.872794201
5.775E+00	0.704055823	0.323060767	1.889030048	1.872794201
5.797E+00	0.705395839	0.324291688	1.888989625	1.872794201
5.819E+00	0.706733314	0.325522609	1.888956974	1.872794201
5.841E+00	0.708068263	0.32675353	1.888932052	1.872794201
5.863E+00	0.7094007	0.327984452	1.888876738	1.872794201
5.885E+00	0.710730639	0.329215373	1.888838319	1.872794201
5.907E+00	0.712058093	0.330446294	1.888806675	1.872794201
5.929E+00	0.713383078	0.331677215	1.888768626	1.872794201
5.951E+00	0.714705607	0.332908136	1.88870437	1.872794201
5.973E+00	0.716025692	0.334139057	1.888649774	1.872794201
5.995E+00	0.717343348	0.335369978	1.888654884	1.872794201
6.017E+00	0.718658589	0.336600899	1.888571707	1.872794201
6.039E+00	0.719971427	0.33783182	1.888566698	1.872794201
6.061E+00	0.721281875	0.339062741	1.888527255	1.872794201
6.083E+00	0.722589946	0.340293662	1.888475519	1.872794201
6.105E+00	0.723895654	0.341524583	1.888488345	1.872794201
6.127E+00	0.725199011	0.342755504	1.888348855	1.872794201
6.149E+00	0.72650003	0.343986425	1.888210389	1.872794201
6.171E+00	0.727798723	0.345217346	1.888138133	1.872794201
6.193E+00	0.729095103	0.346448267	1.888127437	1.872794201
6.215E+00	0.730389182	0.347679189	1.888102882	1.872794201
6.237E+00	0.731680972	0.34891011	1.88808498	1.872794201
6.259E+00	0.732970486	0.350141031	1.888063703	1.872794201
6.281E+00	0.734257735	0.351371952	1.888049302	1.872794201
6.303E+00	0.735542731	0.352602873	1.888035815	1.872794201
6.325E+00	0.736825486	0.353833794	1.888005906	1.872794201
6.347E+00	0.738106011	0.355064715	1.887973043	1.872794201
6.369E+00	0.73938432	0.356295636	1.887905465	1.872794201
6.391E+00	0.740660421	0.357526557	1.887835993	1.872794201
6.413E+00	0.741934328	0.358757478	1.887838568	1.872794201
6.435E+00	0.743206052	0.359988399	1.887826323	1.872794201
6.457E+00	0.744475603	0.36121932	1.887820826	1.872794201
6.479E+00	0.745742993	0.362450241	1.887825736	1.872794201
6.501E+00	0.747008232	0.363681162	1.887824052	1.872794201
6.523E+00	0.748271332	0.364912083	1.887917084	1.872794201
6.545E+00	0.749532304	0.366143005	1.887882186	1.872794201
6.567E+00	0.750791157	0.367373926	1.887901051	1.872794201
6.589E+00	0.752047904	0.368604847	1.887767887	1.872794201
6.611E+00	0.753302554	0.369835768	1.887307091	1.872794201
6.633E+00	0.754555118	0.371066689	1.886992177	1.872794201
6.655E+00	0.755805605	0.37229761	1.886943931	1.872794201
6.677E+00	0.757054028	0.373528531	1.886943607	1.872794201
6.699E+00	0.758300395	0.374759452	1.886985582	1.872794201
6.721E+00	0.759544717	0.375990373	1.887002826	1.872794201
6.743E+00	0.760787003	0.377221294	1.887005698	1.872794201
6.765E+00	0.762027265	0.378452215	1.886997304	1.872794201
6.787E+00	0.763265511	0.379683136	1.886981813	1.872794201
6.809E+00	0.764501751	0.380914057	1.886931937	1.872794201
6.831E+00	0.765735996	0.382144978	1.886933847	1.872794201
6.853E+00	0.766968254	0.383375899	1.886876541	1.872794201
6.875E+00	0.768198536	0.38460682	1.886899452	1.872794201
6.897E+00	0.769426851	0.385837742	1.886938822	1.872794201
6.919E+00	0.770653208	0.387068663	1.886903261	1.872794201
6.941E+00	0.771877616	0.388299584	1.886937626	1.872794201
6.963E+00	0.773100086	0.389530505	1.886953781	1.872794201
6.985E+00	0.774320625	0.390761426	1.886899673	1.872794201
7.007E+00	0.775539243	0.391992347	1.886936027	1.872794201
7.029E+00	0.77675595	0.393223268	1.886989997	1.872794201
7.051E+00	0.777970754	0.394454189	1.886897193	1.872794201
7.073E+00	0.779183663	0.39568511	1.886648707	1.872794201
7.095E+00	0.780394688	0.396916031	1.886401777	1.872794201
7.117E+00	0.781603836	0.398146952	1.886252015	1.872794201
7.139E+00	0.782811117	0.399377873	1.886225551	1.872794201
7.161E+00	0.784016538	0.400608794	1.886246009	1.872794201
7.183E+00	0.785220109	0.401839715	1.886206598	1.872794201
7.205E+00	0.786421838	0.403070636	1.886265435	1.872794201
7.227E+00	0.787621734	0.404301557	1.886266203	1.872794201
7.249E+00	0.788819804	0.405532479	1.886259964	1.872794201
7.271E+00	0.790016058	0.4067634	1.886202679	1.872794201
7.293E+00	0.791210502	0.407994321	1.886209438	1.872794201
7.315E+00	0.792403147	0.409225242	1.886263795	1.872794201
7.337E+00	0.793593999	0.410456163	1.886226463	1.872794201
7.359E+00	0.794783066	0.411687084	1.886284151	1.872794201
7.381E+00	0.795970358	0.412918005	1.886275909	1.872794201
7.403E+00	0.797155881	0.414148926	1.886272535	1.872794201
7.425E+00	0.798339643	0.415379847	1.886299015	1.872794201
7.447E+00	0.799521653	0.416610768	1.886301193	1.872794201
7.469E+00	0.800701918	0.417841689	1.886322973	1.872794201
7.491E+00	0.801880446	0.41907261	1.886307297	1.872794201
7.513E+00	0.803057244	0.420303531	1.886345917	1.872794201
7.535E+00	0.80423232	0.421534452	1.886241077	1.872794201
7.557E+00	0.805405682	0.422765373	1.885949596	1.872794201
7.579E+00	0.806577337	0.423996294	1.885725891	1.872794201
7.601E+00	0.807747292	0.425227216	1.885674821	1.872794201
7.623E+00	0.808915556	0.426458137	1.885710695	1.872794201
7.645E+00	0.810082134	0.427689058	1.885728026	1.872794201
7.667E+00	0.811247035	0.428919979	1.885690525	1.872794201
7.689E+00	0.812410265	0.4301509	1.885632296	1.872794201
7.711E+00	0.813571833	0.431381821	1.885685194	1.872794201
7.733E+00	0.814731744	0.432612742	1.885698907	1.872794201
7.755E+00	0.815890007	0.433843663	1.885690036	1.872794201
7.777E+00	0.817046627	0.435074584	1.885704518	1.872794201
7.799E+00	0.818201612	0.436305505	1.885698454	1.872794201
7.821E+00	0.81935497	0.437536426	1.885686339	1.872794201
7.843E+00	0.820506706	0.438767347	1.885715941	1.872794201
7.865E+00	0.821656827	0.439998268	1.885700627	1.872794201
7.887E+00	0.822805341	0.441229189	1.885721561	1.872794201
7.909E+00	0.823952254	0.44246011	1.885728352	1.872794201
7.931E+00	0.825097573	0.443691032	1.885734162	1.872794201
7.953E+00	0.826241304	0.444921953	1.88571158	1.872794201
7.975E+00	0.827383454	0.446152874	1.885702934	1.872794201
7.997E+00	0.82852403	0.447383795	1.885615136	1.872794201
8.019E+00	0.829663038	0.448614716	1.885528655	1.872794201
8.041E+00	0.830800484	0.449845637	1.88544265	1.872794201
8.063E+00	0.831936375	0.451076558	1.885386371	1.872794201
8.085E+00	0.833070717	0.452307479	1.885334503	1.872794201
8.107E+00	0.834203517	0.4535384	1.885322704	1.872794201
8.129E+00	0.83533478	0.454769321	1.885276952	1.872794201
8.151E+00	0.836464514	0.456000242	1.885275378	1.872794201
8.173E+00	0.837592724	0.457231163	1.885319952	1.872794201
8.195E+00	0.838719416	0.458462084	1.885293615	1.872794201
8.217E+00	0.839844597	0.459693005	1.885298169	1.872794201
8.239E+00	0.840968272	0.460923926	1.885297255	1.872794201
8.261E+00	0.842090448	0.462154847	1.885362677	1.872794201
8.283E+00	0.84321113	0.463385769	1.885362689	1.872794201
8.305E+00	0.844330325	0.46461669	1.885364296	1.872794201
8.327E+00	0.845448038	0.465847611	1.885387703	1.872794201
8.349E+00	0.846564276	0.467078532	1.885379074	1.872794201
8.371E+00	0.847679044	0.468309453	1.885397496	1.872794201
8.393E+00	0.848792347	0.469540374	1.88543802	1.872794201
8.415E+00	0.849904192	0.470771295	1.885514391	1.872794201
8.437E+00	0.851014585	0.472002216	1.885555629	1.872794201
8.459E+00	0.852123531	0.473233137	1.885570563	1.872794201
8.481E+00	0.853231035	0.474464058	1.885367079	1.872794201
8.503E+00	0.854337104	0.475694979	1.884914513	1.872794201
